Category: All categories

Region,how to do better in school: (2021)
Nevada,
Oklahoma,100
New Mexico,
Hawaii,
Mississippi,
Louisiana,90
Wyoming,
West Virginia,
Utah,
Florida,63
Arizona,63
South Carolina,
Georgia,63
Maryland,63
Alaska,
Alabama,54
Washington,54
California,54
Arkansas,
New Hampshire,
New Jersey,45
Michigan,45
North Carolina,45
Kentucky,
Texas,45
Indiana,45
Rhode Island,
Virginia,45
Massachusetts,
Oregon,
Colorado,36
Ohio,36
Tennessee,36
Pennsylvania,36
Missouri,36
Illinois,27
Delaware,
New York,27
Minnesota,
Wisconsin,
Kansas,
Connecticut,
District of Columbia,
Iowa,
Idaho,
Maine,
Montana,
North Dakota,
Nebraska,
South Dakota,
Vermont,
