Category: All categories

Region,how to do better in school: (2018)
North Dakota,
Nebraska,
Montana,
Nevada,
Arkansas,
North Carolina,100
Hawaii,
Louisiana,80
South Carolina,
Arizona,80
Indiana,80
Florida,80
Texas,80
Virginia,60
Wisconsin,
Missouri,60
Minnesota,
Iowa,
California,60
Utah,
New Jersey,60
Colorado,60
West Virginia,
Massachusetts,
Maryland,40
Connecticut,
Illinois,40
Oklahoma,40
Georgia,40
Michigan,40
Washington,40
Ohio,40
Pennsylvania,20
New York,20
Kentucky,
Oregon,
Alabama,20
Tennessee,20
Alaska,
District of Columbia,
Delaware,
Idaho,
Kansas,
Maine,
Mississippi,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Vermont,
Wyoming,
