Category: All categories

Region,how to do better in school: (2014)
Vermont,
New Mexico,
Mississippi,
Massachusetts,
Hawaii,
Wisconsin,
Arkansas,
Nebraska,
Maryland,100
Rhode Island,
Maine,
Alabama,100
North Carolina,75
Florida,75
Indiana,75
New Jersey,75
Michigan,75
Louisiana,75
New York,75
Texas,75
Utah,
Illinois,75
South Carolina,
California,75
Virginia,75
District of Columbia,
Colorado,50
Arizona,50
Pennsylvania,50
Ohio,50
Oklahoma,50
Missouri,25
Minnesota,
Tennessee,25
Connecticut,
Georgia,25
Washington,25
Oregon,
Alaska,
Delaware,
Iowa,
Idaho,
Kansas,
Kentucky,
Montana,
North Dakota,
New Hampshire,
Nevada,
South Dakota,
West Virginia,
Wyoming,
