Category: All categories

Region,how to do better in school: (2020)
North Dakota,
Alaska,
Louisiana,100
New Mexico,
Florida,72
Mississippi,
Montana,
Nebraska,
Rhode Island,
Idaho,
Kansas,
Delaware,
Colorado,54
Alabama,45
California,45
Nevada,
Texas,45
Indiana,45
Virginia,36
Oklahoma,36
Pennsylvania,36
Tennessee,36
Michigan,36
New Jersey,36
Georgia,36
Arizona,36
Illinois,36
Iowa,
Kentucky,
Massachusetts,
Minnesota,
District of Columbia,
Utah,
Missouri,27
Maryland,27
Connecticut,
Maine,
Oregon,
North Carolina,27
Wisconsin,
Washington,18
New York,18
West Virginia,
Ohio,18
South Carolina,
Arkansas,
Hawaii,
New Hampshire,
South Dakota,
Vermont,
Wyoming,
