Category: All categories

Region,how to do better in school: (2015)
Hawaii,
Iowa,
Maryland,100
Nebraska,
District of Columbia,
Louisiana,83
Indiana,83
Colorado,83
New Jersey,83
Nevada,
Arizona,66
Mississippi,
New Mexico,
Ohio,66
South Carolina,
Minnesota,
Pennsylvania,50
Missouri,50
Utah,
Wisconsin,
Florida,33
California,33
New York,33
Michigan,33
Kentucky,
Illinois,33
Texas,33
Georgia,33
Oregon,
Oklahoma,16
Virginia,16
North Carolina,16
Massachusetts,
Washington,16
Alaska,
Alabama,
Arkansas,
Connecticut,
Delaware,
Idaho,
Kansas,
Maine,
Montana,
North Dakota,
New Hampshire,
Rhode Island,
South Dakota,
Tennessee,
Vermont,
West Virginia,
Wyoming,
