Category: All categories

Region,how to do better in school: (2019)
Montana,
South Dakota,
Vermont,
Iowa,
Michigan,100
Arizona,100
Louisiana,100
Alabama,83
New Hampshire,
Arkansas,
District of Columbia,
Florida,83
South Carolina,
Minnesota,
Georgia,83
New Mexico,
California,66
Missouri,66
Texas,66
Massachusetts,
Kansas,
Illinois,66
Colorado,50
Washington,50
Tennessee,50
Wisconsin,
North Carolina,50
West Virginia,
Nevada,
Idaho,
Indiana,50
Ohio,50
Kentucky,
New Jersey,33
Hawaii,
Pennsylvania,33
Utah,
Mississippi,
New York,33
Virginia,33
Oklahoma,33
Connecticut,
Maryland,16
Alaska,
Delaware,
Maine,
North Dakota,
Nebraska,
Oregon,
Rhode Island,
Wyoming,
