Category: All categories

Region,depression: (2008)
West Virginia,100
Wyoming,97
Vermont,93
Montana,92
South Dakota,92
Iowa,91
Delaware,89
North Dakota,88
Ohio,86
Minnesota,85
Maine,83
Michigan,82
New Hampshire,80
Missouri,80
Nebraska,80
New Mexico,79
Pennsylvania,78
Arkansas,78
Rhode Island,78
Washington,78
Illinois,77
Indiana,77
New York,77
Kansas,77
Kentucky,75
Utah,75
North Carolina,75
Massachusetts,75
Idaho,75
Maryland,74
New Jersey,74
South Carolina,74
Wisconsin,74
Alabama,74
Georgia,73
Mississippi,72
Connecticut,72
Oregon,71
Oklahoma,71
Louisiana,70
Colorado,69
Texas,69
Alaska,69
Tennessee,68
Arizona,67
Nevada,65
District of Columbia,64
Florida,63
Hawaii,63
California,56
Virginia,52
