Category: All categories

Region,depression: (2014)
Vermont,100
Iowa,98
Utah,97
South Dakota,96
Maine,95
Wyoming,94
Pennsylvania,94
Arkansas,94
Connecticut,94
North Dakota,93
Indiana,92
Alabama,92
Ohio,92
West Virginia,92
Massachusetts,91
Michigan,91
Montana,90
Wisconsin,89
Minnesota,88
Delaware,88
South Carolina,88
Maryland,86
North Carolina,86
Kentucky,86
Idaho,86
New Jersey,86
New Hampshire,85
Rhode Island,84
Tennessee,83
Arizona,83
Illinois,82
New York,80
Missouri,80
New Mexico,79
Mississippi,79
Washington,79
Oklahoma,79
Kansas,78
Louisiana,78
Colorado,77
Georgia,77
Alaska,77
Nevada,76
Texas,76
Nebraska,74
California,73
Florida,73
Hawaii,67
District of Columbia,66
Virginia,64
Oregon,50
