Category: All categories

Region,Histrionic: (2019)
Vermont,100
Wyoming,90
District of Columbia,90
Oregon,79
Maine,77
Utah,74
Alaska,74
Washington,73
Rhode Island,73
Connecticut,73
New Hampshire,73
Massachusetts,71
Indiana,69
Pennsylvania,68
Minnesota,68
West Virginia,66
North Dakota,65
Nebraska,65
South Dakota,65
Idaho,65
Colorado,63
Oklahoma,63
Maryland,63
Tennessee,61
Michigan,61
Illinois,61
New York,61
Arkansas,60
New Mexico,60
Kentucky,60
Mississippi,58
Montana,58
Ohio,58
Arizona,58
Wisconsin,58
New Jersey,57
California,57
Virginia,57
North Carolina,57
Georgia,53
Nevada,53
Missouri,53
Delaware,53
South Carolina,52
Alabama,52
Kansas,50
Texas,50
Hawaii,50
Iowa,50
Florida,49
Louisiana,49
