Category: All categories

Region,Histrionic: (2008)
Wyoming,100
Mississippi,62
Maine,55
Colorado,48
Vermont,45
Delaware,42
Kansas,40
Connecticut,35
Massachusetts,33
District of Columbia,32
Maryland,31
Iowa,30
Pennsylvania,29
South Dakota,29
Alaska,29
New Mexico,29
Nebraska,29
New York,28
New Jersey,28
Missouri,28
Florida,27
Illinois,26
North Dakota,26
Arkansas,26
Idaho,25
Louisiana,25
Michigan,25
Arizona,25
South Carolina,25
Texas,25
Oregon,24
Utah,23
Indiana,23
North Carolina,23
Virginia,22
Washington,22
West Virginia,22
Georgia,22
Tennessee,21
Montana,21
Hawaii,21
Rhode Island,21
Minnesota,20
Oklahoma,20
Kentucky,20
California,20
Ohio,19
Wisconsin,18
Nevada,16
Alabama,15
New Hampshire,
