Category: All categories

Region,Eating disorder: (2011)
New Hampshire,100
Massachusetts,95
Maine,94
Vermont,94
North Dakota,92
Rhode Island,88
West Virginia,87
Connecticut,83
Minnesota,81
Iowa,79
Pennsylvania,78
New Jersey,76
Utah,76
Wisconsin,74
Colorado,73
Indiana,72
Maryland,72
Oregon,72
Idaho,69
Missouri,67
Michigan,66
Delaware,66
Washington,65
Montana,65
Kentucky,64
Kansas,63
Nebraska,63
Tennessee,62
New York,60
Virginia,60
North Carolina,60
Illinois,59
Ohio,59
Hawaii,58
Arizona,57
South Dakota,57
Alabama,56
California,55
Mississippi,54
South Carolina,54
Oklahoma,54
District of Columbia,52
New Mexico,51
Florida,51
Alaska,51
Arkansas,51
Georgia,47
Louisiana,45
Nevada,44
Texas,43
Wyoming,42
