Category: All categories

Region,Eating disorder: (2020)
Vermont,100
New Hampshire,82
Massachusetts,78
Connecticut,78
Minnesota,72
Maine,72
Oregon,71
Rhode Island,69
North Dakota,68
Pennsylvania,67
New York,66
Illinois,65
Wisconsin,64
Montana,64
Utah,63
Kansas,63
Washington,61
Delaware,61
New Jersey,60
Iowa,59
California,59
Idaho,59
Maryland,59
District of Columbia,57
West Virginia,57
Virginia,57
Colorado,56
Oklahoma,56
Nebraska,56
Missouri,55
New Mexico,55
North Carolina,55
Alaska,54
Indiana,54
Kentucky,54
Arizona,53
Wyoming,53
Ohio,52
Michigan,51
South Carolina,50
Nevada,50
Arkansas,49
Texas,49
Tennessee,49
Mississippi,47
South Dakota,46
Florida,46
Alabama,46
Hawaii,46
Georgia,43
Louisiana,43
