Category: All categories

Region,Eating disorder: (2013)
New Hampshire,100
Vermont,96
Maine,95
Rhode Island,93
North Dakota,87
Connecticut,84
Massachusetts,81
Delaware,79
Minnesota,76
Pennsylvania,73
Colorado,72
Wisconsin,72
Nebraska,71
Maryland,69
New Jersey,68
Utah,67
Kentucky,67
Idaho,66
Ohio,65
Iowa,64
Missouri,64
Indiana,63
New York,62
Montana,62
North Carolina,61
Alabama,60
West Virginia,59
South Carolina,59
Washington,59
Michigan,59
California,59
Alaska,58
Virginia,57
Arkansas,57
Kansas,57
Arizona,56
District of Columbia,56
South Dakota,56
Nevada,55
Tennessee,55
Hawaii,54
Illinois,53
Wyoming,51
Louisiana,50
Oklahoma,49
New Mexico,48
Oregon,46
Florida,43
Georgia,42
Mississippi,40
Texas,39
