Category: All categories

Region,Fitting in: (2016)
Vermont,100
Mississippi,94
Montana,90
Connecticut,88
Arkansas,87
North Dakota,87
Virginia,85
Kentucky,85
Massachusetts,81
Indiana,80
Oklahoma,79
Wisconsin,79
Delaware,79
Rhode Island,79
Ohio,78
Pennsylvania,77
Michigan,76
Louisiana,76
Utah,75
Maine,75
New Hampshire,74
Alabama,73
Missouri,73
Tennessee,72
New Mexico,72
New Jersey,72
Kansas,70
South Carolina,70
Oregon,69
West Virginia,69
Minnesota,69
New York,68
Colorado,68
Washington,68
Hawaii,68
North Carolina,67
Idaho,66
Illinois,66
Georgia,65
Nebraska,65
Nevada,64
Texas,64
Maryland,64
Arizona,63
South Dakota,60
California,59
Iowa,59
Florida,58
District of Columbia,57
Alaska,
Wyoming,
