Category: All categories

Region,Suicide hotline: (2015)
Utah,100
Idaho,99
Alaska,93
New Mexico,92
Montana,89
Maine,87
Colorado,85
Wyoming,83
South Dakota,80
West Virginia,79
Ohio,78
Oregon,75
Kentucky,74
Alabama,73
Washington,72
Indiana,72
Tennessee,71
Iowa,71
New Hampshire,71
North Dakota,71
Nevada,69
Missouri,69
Hawaii,68
Oklahoma,66
Michigan,65
Kansas,65
Maryland,65
Arizona,64
Nebraska,64
Vermont,64
Pennsylvania,63
Wisconsin,62
Minnesota,62
South Carolina,61
North Carolina,60
Arkansas,60
Rhode Island,60
District of Columbia,59
Mississippi,59
Massachusetts,57
Illinois,57
California,57
Texas,56
New Jersey,55
Georgia,54
Louisiana,54
Connecticut,54
New York,52
Florida,51
Virginia,41
Delaware,27
