Category: All categories

Region,Suicide hotline: (2009)
Delaware,100
West Virginia,94
New Hampshire,68
Kentucky,62
Utah,58
Oregon,56
Connecticut,55
Maryland,53
Idaho,50
South Carolina,50
Colorado,49
Montana,46
Oklahoma,46
District of Columbia,46
Rhode Island,44
Iowa,44
Wisconsin,44
New Mexico,43
Ohio,43
New York,42
Illinois,42
Arkansas,41
Nebraska,41
Washington,40
Hawaii,39
Pennsylvania,39
Massachusetts,38
Missouri,38
New Jersey,38
Alabama,38
Minnesota,37
Arizona,37
Texas,36
North Carolina,36
Michigan,35
Florida,34
California,33
Georgia,32
Indiana,31
Nevada,27
Kansas,26
Tennessee,24
Louisiana,23
Maine,22
Virginia,21
Alaska,
Vermont,
South Dakota,
North Dakota,
Mississippi,
Wyoming,
