Category: All categories

Region,hanging: (2021)
Colorado,100
North Carolina,94
Montana,91
Vermont,88
Minnesota,83
Oregon,83
Pennsylvania,82
Kentucky,82
South Carolina,81
South Dakota,81
Washington,81
Missouri,81
Michigan,80
Wisconsin,79
Iowa,79
Ohio,79
Tennessee,79
Indiana,79
Utah,78
New Hampshire,78
West Virginia,77
Alaska,77
Nebraska,75
Delaware,75
Virginia,75
Arkansas,75
Georgia,75
Alabama,74
Connecticut,74
Mississippi,74
Wyoming,74
Kansas,74
Louisiana,74
Massachusetts,74
Maine,74
North Dakota,72
Arizona,72
Idaho,72
New York,71
Oklahoma,71
Illinois,71
California,70
Florida,70
New Jersey,70
Rhode Island,69
Texas,66
Maryland,66
District of Columbia,65
New Mexico,63
Nevada,61
Hawaii,59
