Category: All categories

Region,hanging: (2006)
Mississippi,100
Rhode Island,95
Maine,90
North Carolina,88
Nebraska,88
Kansas,84
New Hampshire,83
New Mexico,79
North Dakota,78
Missouri,78
Oklahoma,77
Idaho,77
Louisiana,77
Montana,76
South Dakota,76
Hawaii,76
Colorado,75
Indiana,75
Tennessee,74
South Carolina,74
Arkansas,74
Kentucky,74
New Jersey,73
Connecticut,72
Michigan,72
Wisconsin,72
Nevada,71
Delaware,71
Alaska,71
Iowa,70
Alabama,70
Ohio,69
West Virginia,69
Pennsylvania,69
Utah,68
Maryland,68
New York,68
Arizona,66
Massachusetts,66
Washington,66
Minnesota,66
Virginia,65
Texas,64
Georgia,62
Vermont,62
Florida,62
Oregon,62
Illinois,62
Wyoming,59
District of Columbia,58
California,54
