Category: All categories

Region,hanging: (2012)
Colorado,100
West Virginia,91
North Carolina,90
Pennsylvania,89
Wyoming,88
Missouri,87
Montana,87
Tennessee,86
Louisiana,86
Delaware,86
Idaho,85
Indiana,85
Vermont,84
Ohio,83
South Dakota,83
Nebraska,82
Oklahoma,82
Utah,82
New Hampshire,81
South Carolina,81
Virginia,80
Massachusetts,80
Arkansas,80
North Dakota,79
Wisconsin,79
Alaska,79
Mississippi,79
Texas,79
Rhode Island,78
Kentucky,78
Oregon,77
Maine,77
New Mexico,77
Kansas,77
Minnesota,76
Michigan,76
Alabama,76
Illinois,75
Washington,74
Iowa,74
Maryland,74
Georgia,73
Florida,73
New Jersey,73
Hawaii,72
Connecticut,71
California,71
New York,68
Nevada,68
Arizona,63
District of Columbia,60
