Category: All categories

Region,hanging: (2010)
Wyoming,100
Alaska,93
North Carolina,92
West Virginia,92
Arkansas,90
North Dakota,89
Montana,88
Maine,85
South Dakota,85
Colorado,85
New Hampshire,83
Kentucky,83
Iowa,82
South Carolina,82
Kansas,81
Indiana,79
Tennessee,79
Wisconsin,79
Idaho,78
Pennsylvania,77
Mississippi,77
Connecticut,77
Ohio,77
Utah,76
Nebraska,76
Oregon,76
Rhode Island,75
New Mexico,73
Oklahoma,73
Louisiana,73
Alabama,72
Missouri,71
Delaware,71
Minnesota,71
Illinois,70
Maryland,70
New York,69
Arizona,67
District of Columbia,67
Florida,67
New Jersey,66
Michigan,65
Massachusetts,65
Nevada,65
Washington,64
Hawaii,63
Texas,63
Vermont,62
Georgia,60
California,43
Virginia,37
