Category: All categories

Region,hanging: (2018)
Colorado,100
Washington,78
Oregon,78
Montana,78
North Carolina,76
Vermont,73
Mississippi,73
Kentucky,72
Utah,71
Virginia,71
Kansas,71
Pennsylvania,71
Iowa,71
Oklahoma,71
Nebraska,71
Ohio,70
Arkansas,69
Wyoming,68
Wisconsin,68
South Dakota,68
Indiana,68
North Dakota,68
Tennessee,68
Michigan,68
South Carolina,67
Minnesota,66
Arizona,66
New York,66
Alaska,66
Maine,65
Connecticut,65
Louisiana,65
Massachusetts,65
Missouri,64
Alabama,64
West Virginia,64
Georgia,64
Idaho,63
Delaware,62
New Jersey,61
Texas,61
New Hampshire,61
California,61
Illinois,60
Rhode Island,58
Florida,57
Maryland,56
Nevada,54
District of Columbia,51
New Mexico,50
Hawaii,50
