Category: All categories

Region,homophobia: (2006)
South Dakota,100
New Hampshire,49
Idaho,43
Hawaii,43
Vermont,40
Maryland,36
Kentucky,35
Arkansas,27
Nevada,26
Massachusetts,24
Nebraska,24
Washington,23
Iowa,23
Minnesota,22
New York,21
Arizona,21
Ohio,21
California,20
Connecticut,20
Utah,20
Michigan,20
Pennsylvania,19
Wisconsin,19
Rhode Island,19
Virginia,18
Illinois,17
Tennessee,17
New Jersey,15
Louisiana,15
Missouri,13
North Carolina,13
Colorado,13
Georgia,13
Florida,9
Texas,9
Indiana,9
Kansas,8
Oregon,6
District of Columbia,6
Alaska,
Alabama,
Delaware,
Maine,
Mississippi,
Montana,
North Dakota,
New Mexico,
Oklahoma,
South Carolina,
West Virginia,
Wyoming,
