Category: All categories

Region,homophobia: (2004)
Wyoming,
Nebraska,100
Alabama,74
Rhode Island,57
Connecticut,45
Ohio,44
Wisconsin,40
North Carolina,38
New Jersey,38
Indiana,35
New York,29
Illinois,29
Kentucky,29
Massachusetts,29
Kansas,27
Georgia,27
California,26
Arizona,22
Colorado,21
Louisiana,20
Minnesota,19
Pennsylvania,18
Michigan,17
Texas,15
Tennessee,15
Virginia,14
Missouri,13
District of Columbia,12
Florida,9
Alaska,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Maryland,
Maine,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
South Carolina,
South Dakota,
Utah,
Vermont,
Washington,
West Virginia,
