Category: All categories

Region,homophobia: (2010)
Wyoming,
New Mexico,100
North Dakota,70
Delaware,67
Connecticut,65
Nebraska,60
Maine,55
Rhode Island,53
New York,50
Alaska,49
Massachusetts,48
Iowa,48
Michigan,46
Arkansas,45
New Hampshire,45
Nevada,44
Kansas,44
Minnesota,43
District of Columbia,40
Pennsylvania,39
Maryland,39
Illinois,37
Kentucky,36
Utah,36
Missouri,35
Indiana,35
Wisconsin,35
New Jersey,34
Florida,34
Ohio,32
Washington,31
Oklahoma,31
Idaho,31
Arizona,30
North Carolina,30
South Carolina,30
Colorado,30
Montana,30
Mississippi,29
California,29
Hawaii,26
Texas,26
Georgia,24
Tennessee,22
Alabama,21
Oregon,18
Virginia,13
Vermont,13
Louisiana,
South Dakota,
West Virginia,
