Category: All categories

Region,homophobia: (2012)
Montana,100
Rhode Island,74
Wyoming,
New Hampshire,62
New Mexico,61
Maryland,58
Kentucky,54
Vermont,52
Oregon,52
Massachusetts,50
Washington,50
Utah,50
Minnesota,49
Indiana,49
Arkansas,48
Virginia,48
New York,46
Colorado,46
Wisconsin,46
Arizona,45
Pennsylvania,45
Oklahoma,45
California,44
Ohio,44
Connecticut,44
New Jersey,44
North Carolina,44
West Virginia,44
Nebraska,42
Mississippi,42
North Dakota,42
Idaho,41
Michigan,41
Hawaii,40
Missouri,40
Illinois,38
Maine,38
Iowa,34
Florida,34
District of Columbia,34
Kansas,33
Louisiana,33
South Carolina,32
Alaska,32
Tennessee,30
Texas,30
South Dakota,30
Alabama,30
Nevada,29
Delaware,28
Georgia,26
