Category: All categories

Region,suicide attempt: (2009)
South Dakota,
Rhode Island,100
Alaska,
Hawaii,96
Connecticut,82
Wisconsin,75
Tennessee,75
Nevada,75
Maine,75
Missouri,75
Kentucky,75
Pennsylvania,68
Indiana,65
Nebraska,65
Washington,65
Massachusetts,62
New York,62
Michigan,62
Ohio,62
Oregon,58
North Carolina,58
Florida,55
Maryland,55
Iowa,55
District of Columbia,
Illinois,55
Kansas,51
Minnesota,51
Arizona,51
Oklahoma,51
California,51
Arkansas,48
Texas,48
New Hampshire,48
New Jersey,44
Utah,41
South Carolina,41
Alabama,41
Georgia,37
Virginia,34
Colorado,31
Louisiana,24
Delaware,
Idaho,
Mississippi,
Montana,
North Dakota,
New Mexico,
Vermont,
West Virginia,
Wyoming,
