Category: All categories

Region,suicide attempt: (2015)
Wyoming,
South Dakota,
Iowa,100
Delaware,100
Mississippi,88
Nebraska,88
North Dakota,
Alabama,86
Washington,86
New Hampshire,83
Arkansas,80
Minnesota,77
Michigan,75
Kentucky,75
Colorado,75
Oklahoma,75
Indiana,72
West Virginia,72
Massachusetts,69
Tennessee,69
Hawaii,69
Ohio,66
Missouri,66
Illinois,66
District of Columbia,
Florida,63
New York,63
Pennsylvania,63
Connecticut,63
Maryland,61
Utah,61
Arizona,61
California,58
South Carolina,58
Maine,58
Wisconsin,58
Rhode Island,55
Georgia,55
Texas,55
New Mexico,55
Louisiana,52
New Jersey,50
Nevada,50
Oregon,47
North Carolina,44
Kansas,44
Virginia,44
Idaho,38
Alaska,
Montana,
Vermont,
