Category: All categories

Region,suicide attempt: (2017)
North Dakota,
Montana,
Rhode Island,100
West Virginia,97
Pennsylvania,85
Arkansas,85
Connecticut,82
South Dakota,
Wisconsin,79
Oregon,79
Wyoming,
New Jersey,79
Oklahoma,76
Michigan,76
Kentucky,76
Washington,73
Massachusetts,73
New Mexico,73
Virginia,70
Indiana,70
Colorado,70
Vermont,
Illinois,67
Idaho,67
Minnesota,67
California,67
Kansas,67
New Hampshire,67
Maryland,67
Georgia,67
Utah,67
Arizona,67
New York,67
Tennessee,67
District of Columbia,
Alabama,64
Iowa,64
Hawaii,64
Ohio,64
Maine,64
South Carolina,64
Mississippi,61
Nevada,61
North Carolina,61
Missouri,58
Texas,58
Florida,58
Delaware,55
Nebraska,55
Louisiana,55
Alaska,
