Category: All categories

Region,suicide attempt: (2006)
South Carolina,100
Kentucky,72
Iowa,61
Mississippi,58
Montana,
Oklahoma,55
Arkansas,44
Indiana,41
Kansas,36
Michigan,35
Maryland,32
Missouri,32
Washington,28
Ohio,27
Florida,27
Georgia,25
Pennsylvania,24
Virginia,24
Nevada,23
Texas,22
Connecticut,20
Utah,20
New Jersey,19
District of Columbia,
New York,16
Minnesota,16
Illinois,16
Tennessee,16
North Carolina,16
California,15
Arizona,15
Wisconsin,6
Alaska,
Alabama,
Colorado,
Delaware,
Hawaii,
Idaho,
Louisiana,
Massachusetts,
Maine,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oregon,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
