Category: All categories

Region,suicide attempt: (2018)
North Dakota,
Utah,100
New Mexico,82
Vermont,
Kansas,78
South Dakota,
Delaware,76
Mississippi,76
Idaho,69
Massachusetts,65
Wyoming,
Montana,
Alaska,
Oregon,65
Hawaii,60
Arkansas,60
Tennessee,60
Connecticut,58
Nebraska,58
Maryland,58
Michigan,56
Indiana,56
Oklahoma,56
Minnesota,56
Louisiana,56
Washington,56
Colorado,54
Missouri,54
Virginia,54
Rhode Island,54
Wisconsin,54
Pennsylvania,54
New Hampshire,54
Iowa,52
Kentucky,52
South Carolina,52
Ohio,52
North Carolina,52
Arizona,52
New Jersey,50
California,50
Georgia,50
Illinois,50
District of Columbia,
Florida,47
Alabama,45
Texas,45
Maine,45
West Virginia,43
New York,41
Nevada,41
