Category: All categories

Region,suicide attempt: (2007)
Alaska,
New Mexico,100
Mississippi,85
Louisiana,84
Oklahoma,73
Rhode Island,73
Montana,
Iowa,65
Tennessee,64
Utah,62
West Virginia,57
Georgia,57
South Dakota,
Arkansas,56
Florida,56
Maine,54
Michigan,54
Oregon,53
Wisconsin,53
Indiana,51
New York,51
Washington,50
California,48
Colorado,48
Ohio,48
Pennsylvania,46
Illinois,42
Arizona,40
Massachusetts,40
Missouri,40
Virginia,39
Texas,37
New Jersey,35
Kentucky,32
Connecticut,32
District of Columbia,
North Carolina,29
Minnesota,28
Nevada,28
Maryland,28
Nebraska,26
South Carolina,20
Alabama,12
Delaware,
Hawaii,
Idaho,
Kansas,
North Dakota,
New Hampshire,
Vermont,
Wyoming,
