Category: All categories

Region,hanging: (2020)
Colorado,100
North Carolina,88
Oregon,84
Vermont,82
Wisconsin,81
Idaho,78
New Hampshire,78
Pennsylvania,77
Missouri,76
Minnesota,76
Indiana,76
Michigan,75
Montana,75
Kentucky,75
Washington,75
Tennessee,75
Utah,74
Iowa,74
Ohio,74
Kansas,74
Massachusetts,73
Louisiana,72
West Virginia,72
South Carolina,72
Virginia,72
Maine,72
Oklahoma,72
Nebraska,71
Wyoming,71
Connecticut,70
South Dakota,70
Alaska,69
Illinois,69
New Jersey,68
Alabama,68
North Dakota,68
Arkansas,68
California,68
Georgia,67
Mississippi,67
New York,66
Maryland,65
Rhode Island,65
Florida,65
Texas,65
Delaware,64
Arizona,64
New Mexico,62
Nevada,62
District of Columbia,58
Hawaii,57
