Category: All categories

Region,hanging: (2009)
North Carolina,100
Idaho,98
Montana,96
Colorado,95
Wyoming,94
North Dakota,94
Kansas,93
Vermont,93
Arkansas,92
Iowa,92
South Dakota,92
New Hampshire,91
Alabama,91
West Virginia,90
New Mexico,90
Maine,90
Delaware,90
Pennsylvania,89
Mississippi,88
Indiana,88
Tennessee,88
Kentucky,88
Nebraska,87
Alaska,84
Connecticut,84
Louisiana,83
South Carolina,83
Wisconsin,82
Oregon,82
Utah,82
Rhode Island,82
Oklahoma,81
Minnesota,79
Missouri,79
Maryland,77
New York,76
Ohio,76
Massachusetts,75
Arizona,75
Florida,73
Michigan,73
Illinois,73
Texas,73
District of Columbia,73
Washington,72
New Jersey,70
Hawaii,70
Georgia,70
Nevada,66
California,58
Virginia,43
