Category: All categories

Region,hanging: (2017)
Colorado,100
North Carolina,79
Montana,72
Utah,72
Vermont,70
Wyoming,68
Wisconsin,68
Oregon,67
Kentucky,66
Ohio,65
Missouri,65
North Dakota,65
Pennsylvania,65
Iowa,65
Minnesota,64
South Dakota,64
Arkansas,64
Virginia,64
Indiana,64
Tennessee,64
West Virginia,63
Connecticut,63
Michigan,62
Washington,62
Oklahoma,62
Alabama,62
Louisiana,61
Delaware,61
South Carolina,61
Idaho,61
Georgia,61
New York,61
Maryland,61
Mississippi,60
Massachusetts,60
Maine,59
Alaska,58
New Hampshire,58
California,58
New Jersey,57
Nebraska,57
Kansas,57
Texas,57
Arizona,56
Illinois,56
Rhode Island,56
Florida,54
District of Columbia,54
Nevada,49
Hawaii,49
New Mexico,48
