Category: All categories

Region,hanging: (2005)
North Dakota,100
Maine,89
North Carolina,88
New Hampshire,85
Iowa,82
Rhode Island,80
West Virginia,78
Tennessee,78
Pennsylvania,77
Idaho,76
Colorado,75
Nebraska,75
Alaska,74
Arkansas,73
Montana,73
Alabama,72
South Dakota,72
South Carolina,72
Wyoming,72
Ohio,72
Wisconsin,71
Delaware,70
Missouri,70
Michigan,69
Oklahoma,69
Connecticut,68
Oregon,68
Indiana,68
Kansas,67
Arizona,67
Minnesota,66
Mississippi,66
Massachusetts,66
Vermont,65
Louisiana,65
Washington,65
Florida,65
New Jersey,65
Maryland,64
District of Columbia,63
Georgia,63
Kentucky,63
Illinois,62
Virginia,61
Texas,61
Nevada,60
New York,59
Hawaii,56
California,56
Utah,54
New Mexico,51
