Category: All categories

Region,hanging: (2014)
Colorado,100
Montana,83
North Carolina,83
Wyoming,81
South Dakota,77
Utah,76
North Dakota,75
Kentucky,75
South Carolina,75
Idaho,74
Tennessee,74
West Virginia,74
Vermont,73
Maine,73
Wisconsin,73
Pennsylvania,72
Louisiana,70
Michigan,70
Arkansas,70
Alabama,70
New Hampshire,69
Missouri,68
Washington,68
Oklahoma,68
Alaska,67
Minnesota,67
Ohio,67
Indiana,67
Rhode Island,67
Massachusetts,67
Delaware,66
Nebraska,65
Texas,65
Florida,64
New Jersey,64
Iowa,64
Illinois,63
Connecticut,63
Maryland,62
Arizona,61
Mississippi,61
New Mexico,61
California,60
Georgia,60
Kansas,59
District of Columbia,59
New York,57
Hawaii,56
Nevada,53
Virginia,52
Oregon,43
