Category: All categories

Region,academic stress: (2019)
Alaska,
Maine,
Hawaii,
Rhode Island,
Delaware,
Wisconsin,
Indiana,100
North Carolina,100
New Jersey,75
Mississippi,
Maryland,
Iowa,
Nebraska,
Minnesota,75
Arizona,50
Oklahoma,
Tennessee,
California,50
Pennsylvania,50
Louisiana,50
Texas,50
Georgia,50
Utah,
Kentucky,
Connecticut,
Massachusetts,
Virginia,
Illinois,50
Nevada,
Florida,50
Alabama,50
Oregon,
Michigan,
New York,25
Ohio,25
Missouri,
Colorado,
South Carolina,
Washington,25
Arkansas,
District of Columbia,
Idaho,
Kansas,
Montana,
North Dakota,
New Hampshire,
New Mexico,
South Dakota,
Vermont,
West Virginia,
Wyoming,
