Category: All categories

Region,academic stress: (2012)
Rhode Island,
Delaware,
South Dakota,
Hawaii,
South Carolina,
Arkansas,
Iowa,
New Hampshire,
Alabama,100
New Mexico,
Maryland,
Nebraska,
District of Columbia,
Georgia,60
Indiana,60
Oklahoma,
Arizona,40
North Carolina,40
Connecticut,
Tennessee,
Wisconsin,
California,20
Massachusetts,
Minnesota,20
New York,20
New Jersey,20
Ohio,20
Michigan,
Florida,20
Texas,<1
Pennsylvania,<1
Illinois,<1
Alaska,
Colorado,
Idaho,
Kansas,
Kentucky,
Louisiana,
Maine,
Missouri,
Mississippi,
Montana,
North Dakota,
Nevada,
Oregon,
Utah,
Virginia,
Vermont,
Washington,
West Virginia,
Wyoming,
