Category: All categories

Region,tylenol: (2010)
Iowa,100
New Hampshire,99
Pennsylvania,99
Delaware,98
Vermont,98
South Dakota,98
Louisiana,97
Arkansas,97
Connecticut,97
Montana,97
North Dakota,97
Kentucky,96
Hawaii,95
Tennessee,95
Nebraska,92
Indiana,92
Maryland,90
Maine,90
Minnesota,90
New York,89
Oklahoma,89
Alabama,89
Mississippi,88
Kansas,88
South Carolina,88
Wisconsin,88
Texas,87
West Virginia,87
Missouri,85
Michigan,85
New Jersey,84
Alaska,84
District of Columbia,83
Idaho,82
Ohio,82
New Mexico,82
Massachusetts,82
North Carolina,81
Colorado,80
Arizona,80
Washington,78
Rhode Island,78
Utah,78
Florida,78
Oregon,76
Nevada,75
Wyoming,73
Illinois,70
Georgia,69
Virginia,51
California,47
