Category: All categories

Region,tylenol: (2009)
South Dakota,100
Arkansas,86
Kentucky,84
Vermont,82
Nebraska,82
Alabama,81
Delaware,81
West Virginia,80
Iowa,80
Alaska,79
New Hampshire,79
Rhode Island,79
Indiana,78
Louisiana,77
Connecticut,77
North Dakota,77
South Carolina,76
Mississippi,76
Missouri,76
Hawaii,75
Oklahoma,75
Kansas,75
New York,75
Maryland,75
District of Columbia,74
Pennsylvania,74
Tennessee,73
Michigan,73
Massachusetts,71
Arizona,71
Ohio,71
Wisconsin,70
Wyoming,70
Texas,69
North Carolina,69
New Jersey,68
Illinois,68
Utah,68
New Mexico,67
Minnesota,66
Washington,64
Nevada,62
Florida,62
Georgia,61
Oregon,61
Idaho,59
Montana,59
Maine,59
Colorado,54
California,50
Virginia,35
