Category: All categories

Region,tylenol: (2018)
Texas,100
West Virginia,99
Oklahoma,97
Kentucky,94
Michigan,90
Louisiana,88
Alabama,88
Missouri,87
South Dakota,86
Utah,84
Delaware,84
Tennessee,83
Ohio,83
Connecticut,83
North Dakota,83
Pennsylvania,82
Arkansas,82
Illinois,81
South Carolina,81
Maryland,81
New Hampshire,81
Vermont,80
Virginia,80
Maine,79
Mississippi,79
Alaska,79
New York,79
North Carolina,79
Montana,79
Wisconsin,79
Indiana,78
Wyoming,78
Massachusetts,77
Georgia,77
Florida,76
Idaho,76
Minnesota,76
Nebraska,76
New Jersey,74
Kansas,74
Rhode Island,74
Washington,73
Iowa,73
Hawaii,72
Colorado,69
Oregon,69
Arizona,68
New Mexico,67
California,65
Nevada,63
District of Columbia,57
