Category: All categories

Region,trans: (2015)
West Virginia,100
Michigan,88
Ohio,88
Kansas,87
Pennsylvania,86
District of Columbia,85
North Dakota,84
Tennessee,83
Wisconsin,82
Illinois,82
Indiana,81
Missouri,80
South Carolina,80
Wyoming,80
Vermont,78
Kentucky,78
Oregon,77
Washington,75
New Mexico,75
Georgia,75
Oklahoma,75
North Carolina,74
Texas,74
California,74
New Hampshire,74
New Jersey,74
Arkansas,74
Rhode Island,74
South Dakota,73
Mississippi,73
Delaware,73
Idaho,73
New York,72
Minnesota,72
Arizona,71
Nebraska,71
Maine,70
Nevada,70
Colorado,69
Alaska,69
Virginia,69
Florida,68
Massachusetts,68
Maryland,68
Iowa,68
Montana,68
Utah,66
Hawaii,66
Alabama,61
Louisiana,60
Connecticut,60
