Category: All categories

Region,trans: (2014)
West Virginia,100
Pennsylvania,90
Missouri,85
Kentucky,82
Oklahoma,82
North Dakota,81
Ohio,81
Michigan,80
Indiana,80
Illinois,79
Wisconsin,79
Tennessee,79
Texas,77
Arkansas,77
Idaho,76
Vermont,76
Wyoming,76
Rhode Island,76
Mississippi,74
South Dakota,73
Delaware,73
North Carolina,73
Kansas,72
Oregon,71
New Hampshire,70
Montana,70
New Mexico,69
Louisiana,69
Virginia,69
California,69
Nebraska,68
Florida,68
Washington,68
South Carolina,67
Colorado,67
Minnesota,66
Alaska,66
Nevada,66
Massachusetts,66
District of Columbia,66
Georgia,65
Hawaii,65
Iowa,65
Utah,64
Arizona,64
New Jersey,64
Alabama,64
Maine,63
Maryland,61
New York,56
Connecticut,56
