Category: All categories

Region,trans: (2017)
West Virginia,100
Michigan,95
Pennsylvania,91
Ohio,90
North Dakota,90
Wisconsin,89
Missouri,88
Indiana,88
Vermont,85
Oklahoma,85
Illinois,85
Kentucky,85
New Jersey,83
Oregon,83
California,83
Washington,82
District of Columbia,81
Kansas,81
Tennessee,81
Nevada,80
North Carolina,78
South Carolina,78
Wyoming,78
Delaware,78
Colorado,78
Utah,77
New Hampshire,77
Texas,76
Maine,76
Massachusetts,75
New York,75
Arizona,75
Minnesota,75
Iowa,75
Alaska,74
South Dakota,74
Alabama,74
Louisiana,74
Florida,73
Georgia,73
Maryland,72
Connecticut,71
Virginia,71
Montana,71
Nebraska,70
Rhode Island,70
New Mexico,70
Mississippi,68
Idaho,67
Hawaii,67
Arkansas,67
