Category: All categories

Region,trans: (2016)
West Virginia,100
Michigan,95
Ohio,91
Missouri,88
Pennsylvania,87
North Carolina,86
Wisconsin,84
New Jersey,83
Kansas,83
Vermont,82
Texas,82
Indiana,82
Tennessee,82
Illinois,81
Oklahoma,81
Kentucky,81
Nevada,79
Washington,78
Wyoming,78
South Dakota,78
District of Columbia,77
Colorado,77
California,77
North Dakota,77
New Hampshire,76
Delaware,75
South Carolina,75
Georgia,74
Minnesota,74
Maine,73
Idaho,73
Alaska,73
Arizona,73
Alabama,73
New Mexico,72
Virginia,72
Rhode Island,72
Utah,71
Maryland,71
Oregon,70
Iowa,69
Montana,69
Arkansas,69
New York,69
Connecticut,68
Nebraska,67
Hawaii,66
Mississippi,66
Florida,66
Massachusetts,64
Louisiana,64
