Category: All categories

Region,trans: (2021)
West Virginia,100
Vermont,96
Washington,95
Tennessee,93
Oregon,92
Michigan,92
Indiana,90
Utah,90
Wisconsin,90
Alaska,90
Missouri,89
Pennsylvania,89
Oklahoma,89
Illinois,88
Ohio,87
Kentucky,87
California,86
Nevada,85
Arkansas,85
New Jersey,84
Georgia,84
Virginia,83
Massachusetts,83
Colorado,83
Texas,82
North Carolina,82
Arizona,82
Nebraska,81
Kansas,81
Alabama,81
Maryland,81
Maine,80
South Dakota,80
District of Columbia,79
New Mexico,78
Wyoming,77
Connecticut,77
New Hampshire,77
Minnesota,77
Montana,76
Louisiana,76
South Carolina,76
Mississippi,76
North Dakota,76
Florida,75
Rhode Island,74
Iowa,73
Delaware,72
New York,70
Idaho,69
Hawaii,68
