Category: All categories

Region,ocd: (2011)
Rhode Island,100
Maine,99
Pennsylvania,91
Vermont,88
Idaho,86
New Hampshire,86
Wisconsin,84
West Virginia,83
Kentucky,82
Connecticut,82
Massachusetts,80
Indiana,79
Delaware,77
New Jersey,77
New Mexico,76
Utah,76
Maryland,76
Mississippi,75
New York,74
Minnesota,74
Michigan,73
Kansas,72
South Carolina,72
Louisiana,71
Montana,71
California,71
Iowa,70
Oklahoma,70
Virginia,70
Arizona,70
Nebraska,69
Ohio,69
Arkansas,68
Missouri,67
Oregon,67
Alabama,67
North Carolina,67
Washington,65
Tennessee,64
North Dakota,63
Colorado,63
Illinois,62
Georgia,61
District of Columbia,60
South Dakota,60
Alaska,59
Hawaii,58
Nevada,57
Texas,57
Florida,56
Wyoming,54
