Category: All categories

Region,ocd: (2008)
Maine,100
Rhode Island,97
Connecticut,89
Delaware,87
Pennsylvania,84
Kentucky,84
North Dakota,83
New Hampshire,81
Massachusetts,81
Indiana,81
Kansas,76
Oregon,75
Missouri,75
West Virginia,75
Michigan,73
New Mexico,72
Utah,72
New Jersey,72
Montana,71
Wisconsin,70
Arizona,69
Mississippi,69
South Dakota,69
Ohio,69
Minnesota,68
Vermont,68
Arkansas,68
Oklahoma,66
New York,66
Washington,66
Maryland,65
Louisiana,65
Iowa,65
Tennessee,64
North Carolina,62
Illinois,61
South Carolina,60
Idaho,59
Nebraska,58
Colorado,58
Nevada,57
Georgia,56
Alabama,55
District of Columbia,55
Florida,55
Hawaii,54
Texas,54
California,45
Virginia,43
Alaska,39
Wyoming,35
