Category: All categories

Region,ocd: (2014)
Utah,100
New Hampshire,99
Rhode Island,94
Vermont,94
Maine,92
South Dakota,89
Massachusetts,88
Connecticut,87
Pennsylvania,86
New Mexico,85
Alaska,83
Arkansas,81
Delaware,80
Iowa,80
New Jersey,79
Nebraska,77
Indiana,77
West Virginia,77
Kentucky,77
Wisconsin,77
Idaho,76
New York,75
California,74
Illinois,74
Alabama,74
Montana,73
Ohio,73
Tennessee,73
Mississippi,72
Oklahoma,72
Missouri,69
Maryland,69
Florida,68
Minnesota,68
Kansas,68
Michigan,67
North Dakota,67
South Carolina,67
Hawaii,66
Arizona,66
Texas,66
Washington,66
Wyoming,65
Nevada,65
Louisiana,64
North Carolina,63
Virginia,62
Colorado,62
District of Columbia,61
Georgia,58
Oregon,57
