Category: All categories

Region,ocd: (2021)
Utah,100
Massachusetts,89
Rhode Island,87
New Hampshire,84
Maine,80
Vermont,78
Connecticut,75
Pennsylvania,74
Illinois,72
Washington,72
New York,70
Virginia,70
West Virginia,69
North Carolina,69
Oregon,69
Ohio,69
New Jersey,67
District of Columbia,67
Maryland,67
North Dakota,65
New Mexico,65
Iowa,65
California,65
Idaho,64
Michigan,64
Kentucky,64
Montana,63
Minnesota,63
South Dakota,63
Texas,62
Alaska,62
Nebraska,61
Kansas,61
Florida,60
Hawaii,60
Wisconsin,60
Oklahoma,59
Georgia,58
Tennessee,58
Delaware,58
Arkansas,57
Colorado,57
Louisiana,57
Arizona,57
Missouri,56
Nevada,55
Indiana,54
South Carolina,52
Mississippi,52
Alabama,52
Wyoming,48
