Category: All categories

Region,ocd: (2009)
Rhode Island,100
South Dakota,94
West Virginia,88
New Hampshire,85
Massachusetts,83
Wisconsin,83
Connecticut,83
Pennsylvania,82
Delaware,82
Iowa,81
Tennessee,78
Montana,78
Michigan,78
Minnesota,77
North Dakota,76
Oregon,75
Ohio,75
Maryland,75
Mississippi,75
Maine,74
Missouri,73
Indiana,73
Louisiana,73
Kentucky,72
Utah,72
New York,71
Illinois,71
New Mexico,71
Kansas,70
New Jersey,70
North Carolina,70
Arizona,67
Nebraska,67
Washington,65
Alaska,65
Colorado,63
South Carolina,63
Wyoming,62
Florida,61
District of Columbia,59
Arkansas,58
Georgia,58
Oklahoma,58
Hawaii,58
Texas,55
Alabama,55
Nevada,54
California,45
Vermont,45
Idaho,41
Virginia,36
