Category: All categories

Region,ocd: (2020)
Rhode Island,100
Massachusetts,97
Utah,92
Vermont,88
Maine,86
Pennsylvania,85
Maryland,85
New Jersey,84
Connecticut,83
New York,82
Illinois,81
Virginia,79
Washington,79
New Hampshire,79
California,78
West Virginia,78
Idaho,76
Delaware,75
District of Columbia,74
Ohio,73
Michigan,73
Hawaii,72
Oregon,72
Texas,71
North Carolina,71
New Mexico,70
Oklahoma,70
Georgia,70
Minnesota,70
Nevada,68
South Dakota,68
Kansas,68
Wisconsin,68
Alaska,67
Florida,67
Kentucky,67
Nebraska,67
Iowa,66
Montana,65
Arizona,65
Indiana,64
Louisiana,63
Tennessee,63
Alabama,62
Missouri,61
Colorado,60
North Dakota,59
Arkansas,59
Mississippi,58
South Carolina,58
Wyoming,53
