Category: All categories

Region,ocd: (2006)
Montana,100
Rhode Island,93
Idaho,90
Iowa,90
New Hampshire,84
Massachusetts,76
Connecticut,75
Pennsylvania,73
Vermont,73
Michigan,73
Kentucky,71
Delaware,69
Arkansas,66
New York,66
Alaska,66
Wisconsin,65
Minnesota,65
Mississippi,65
Maine,64
Indiana,64
South Dakota,64
Louisiana,63
Oklahoma,63
New Jersey,63
Kansas,63
Nebraska,63
Ohio,62
North Dakota,61
Illinois,60
North Carolina,60
West Virginia,60
Nevada,58
Utah,57
Missouri,56
Virginia,55
South Carolina,54
Maryland,54
Hawaii,54
Oregon,53
Tennessee,52
Colorado,52
California,49
Texas,49
Arizona,48
New Mexico,48
District of Columbia,47
Washington,46
Georgia,45
Florida,42
Alabama,41
Wyoming,40
