Category: All categories

Region,ocd: (2012)
New Hampshire,100
Vermont,99
Maine,90
Connecticut,90
Pennsylvania,87
Utah,87
South Dakota,86
Delaware,86
Rhode Island,85
Wyoming,83
Massachusetts,83
West Virginia,82
Maryland,80
New Mexico,80
Oregon,80
Iowa,79
Wisconsin,79
Kentucky,78
Tennessee,78
New Jersey,77
Idaho,77
New York,76
South Carolina,75
North Dakota,75
Kansas,75
Oklahoma,75
Virginia,75
Arkansas,75
Indiana,74
Minnesota,74
California,73
Nevada,72
Ohio,72
Illinois,71
Hawaii,71
Nebraska,70
Arizona,70
Mississippi,70
Missouri,69
Florida,69
Michigan,68
Alabama,67
Colorado,67
Washington,67
North Carolina,66
Louisiana,65
Alaska,63
Texas,63
District of Columbia,62
Georgia,61
Montana,52
