Category: All categories

Region,single: (2019)
Vermont,100
New Hampshire,92
Massachusetts,91
Kentucky,89
Oklahoma,88
Montana,88
Arkansas,88
Kansas,87
Virginia,87
Arizona,87
Washington,86
California,86
Oregon,86
Indiana,86
Utah,86
Idaho,86
District of Columbia,85
Minnesota,85
Wisconsin,84
Texas,84
Missouri,84
West Virginia,84
Louisiana,83
Alaska,83
Florida,82
Colorado,82
Michigan,82
New Mexico,82
Maryland,81
Delaware,81
Illinois,80
Ohio,80
Alabama,80
Iowa,79
Nevada,79
Hawaii,78
Maine,78
Georgia,78
Mississippi,78
South Carolina,78
North Carolina,78
Rhode Island,78
Nebraska,77
Connecticut,76
Pennsylvania,76
South Dakota,75
Tennessee,75
New York,75
New Jersey,73
Wyoming,72
North Dakota,71
