Category: All categories

Region,single: (2010)
Maryland,100
New York,99
Delaware,98
Pennsylvania,96
North Carolina,96
Kentucky,93
Colorado,93
Louisiana,93
Georgia,92
Ohio,92
Tennessee,92
Connecticut,91
Florida,91
District of Columbia,91
Washington,90
Texas,90
Wyoming,90
Illinois,90
New Jersey,90
Massachusetts,89
Indiana,89
Missouri,89
Rhode Island,88
North Dakota,88
South Carolina,88
Arizona,88
Wisconsin,88
Mississippi,88
Arkansas,87
Alaska,87
Idaho,87
Michigan,86
Montana,86
New Mexico,86
New Hampshire,86
Oregon,86
Kansas,85
West Virginia,83
Hawaii,83
Minnesota,83
Maine,83
South Dakota,82
Alabama,81
Nevada,81
Nebraska,81
Oklahoma,79
Utah,78
Iowa,75
Vermont,74
California,62
Virginia,58
