Category: All categories

Region,trauma: (2013)
Alaska,100
Vermont,98
Montana,96
Delaware,92
Maryland,92
Maine,90
New Mexico,89
District of Columbia,86
Nebraska,83
Massachusetts,82
West Virginia,79
Pennsylvania,77
Connecticut,77
New Hampshire,76
Rhode Island,74
South Carolina,73
Arkansas,73
South Dakota,73
Kentucky,71
Colorado,71
Tennessee,70
Arizona,68
North Dakota,67
Louisiana,66
Florida,66
California,66
Wyoming,65
Hawaii,65
Idaho,65
Alabama,65
New York,64
Wisconsin,64
Ohio,64
Minnesota,63
Oklahoma,63
Indiana,63
Missouri,63
Oregon,61
Illinois,61
Utah,61
Virginia,60
Kansas,60
Nevada,58
Washington,58
Texas,58
North Carolina,57
Michigan,56
Iowa,56
New Jersey,56
Mississippi,56
Georgia,46
