Category: All categories

Region,trauma: (2020)
Vermont,100
District of Columbia,94
Oregon,92
Alaska,92
Washington,87
Maine,86
Colorado,84
Maryland,83
Pennsylvania,81
Minnesota,80
New Hampshire,77
Montana,77
South Dakota,76
Massachusetts,76
Rhode Island,76
Connecticut,75
North Dakota,75
Wyoming,74
Idaho,74
Virginia,72
Arizona,71
Nebraska,71
Delaware,71
Utah,70
Missouri,70
Tennessee,69
New York,69
New Mexico,69
California,68
Ohio,68
West Virginia,67
Michigan,67
Wisconsin,66
Hawaii,66
Kentucky,64
Kansas,64
Indiana,64
Illinois,63
North Carolina,63
Oklahoma,62
Florida,61
Arkansas,60
Texas,59
New Jersey,58
Georgia,57
Louisiana,56
Mississippi,56
Iowa,56
Nevada,53
South Carolina,53
Alabama,51
