Category: All categories

Region,trauma: (2017)
Alaska,100
Vermont,95
Maryland,95
Maine,91
Montana,88
Oregon,88
Massachusetts,84
Colorado,83
Delaware,80
New Mexico,79
West Virginia,79
Nebraska,79
Pennsylvania,78
Tennessee,76
Minnesota,76
Idaho,76
District of Columbia,75
South Dakota,75
New Hampshire,74
Utah,74
Ohio,74
Wyoming,72
Missouri,72
Arizona,72
Kansas,72
Rhode Island,71
Wisconsin,71
New York,71
North Dakota,71
Washington,70
Connecticut,68
California,67
Iowa,67
Michigan,67
Illinois,65
Virginia,63
Kentucky,63
Florida,62
Oklahoma,62
North Carolina,62
Arkansas,62
Nevada,61
Louisiana,59
Indiana,59
New Jersey,58
Texas,58
Georgia,58
Hawaii,57
South Carolina,56
Alabama,54
Mississippi,50
