Category: All categories

Region,trauma: (2021)
Vermont,100
Oregon,85
Alaska,85
District of Columbia,83
Montana,81
Maryland,81
Maine,81
North Dakota,78
Massachusetts,76
Colorado,75
Minnesota,74
Idaho,74
Nebraska,74
New Hampshire,73
West Virginia,71
Washington,71
South Dakota,71
Arizona,70
Wyoming,70
Missouri,69
Utah,69
Delaware,69
Rhode Island,69
Pennsylvania,68
Tennessee,68
Wisconsin,68
Michigan,67
Kentucky,66
California,66
Illinois,65
Ohio,65
Connecticut,65
Kansas,65
Virginia,64
New Mexico,64
Hawaii,63
Indiana,63
Florida,63
North Carolina,61
Texas,61
Arkansas,61
Oklahoma,60
New York,59
Georgia,58
South Carolina,56
New Jersey,56
Iowa,54
Mississippi,52
Louisiana,52
Nevada,51
Alabama,50
