Category: All categories

Region,anorexia: (2007)
North Dakota,100
Iowa,94
Delaware,84
Maine,81
Indiana,78
Idaho,77
West Virginia,76
Rhode Island,76
Connecticut,75
Utah,73
Kentucky,73
Michigan,72
Nebraska,71
Alaska,71
South Dakota,70
Montana,70
Pennsylvania,69
Wisconsin,69
New Hampshire,69
Oregon,68
Minnesota,67
Mississippi,67
Arkansas,67
Massachusetts,65
Vermont,62
Wyoming,61
Illinois,59
Ohio,59
New York,59
North Carolina,59
Kansas,58
Missouri,58
New Jersey,58
Washington,55
Colorado,55
Virginia,55
Tennessee,54
Nevada,54
Alabama,54
Maryland,53
South Carolina,53
Florida,53
New Mexico,52
Louisiana,52
Texas,51
Arizona,51
Oklahoma,51
California,50
Hawaii,49
District of Columbia,47
Georgia,47
