Category: All categories

Region,anorexia: (2010)
Iowa,100
Virginia,98
New Hampshire,90
North Dakota,87
West Virginia,86
Mississippi,82
Nebraska,81
Utah,81
Indiana,80
Maine,80
Delaware,79
Connecticut,78
California,76
Montana,76
Michigan,75
Pennsylvania,75
Rhode Island,73
Kansas,73
South Dakota,72
Wyoming,72
Oregon,70
Wisconsin,70
Idaho,69
Alabama,69
Kentucky,69
Missouri,67
Massachusetts,67
Minnesota,66
Arizona,66
Louisiana,65
Colorado,65
Washington,64
New Jersey,64
Vermont,64
Arkansas,63
Hawaii,61
New York,61
Ohio,61
South Carolina,61
Maryland,60
New Mexico,60
Oklahoma,60
North Carolina,59
Florida,58
Tennessee,58
Illinois,58
Alaska,57
Nevada,57
District of Columbia,52
Texas,50
Georgia,49
