Category: All categories

Region,anorexia: (2008)
Iowa,100
Vermont,99
North Dakota,99
West Virginia,97
Rhode Island,95
Wisconsin,92
Kentucky,91
Montana,90
Connecticut,89
Maine,89
Utah,89
New Hampshire,89
Virginia,89
Delaware,89
Nebraska,86
South Dakota,85
Mississippi,84
Michigan,84
Indiana,83
Pennsylvania,82
South Carolina,81
Alaska,79
Oregon,78
Alabama,77
Ohio,76
California,76
Minnesota,75
Massachusetts,72
Missouri,71
Arizona,70
Kansas,70
Tennessee,70
Idaho,70
Washington,69
Arkansas,69
New Jersey,68
Colorado,67
Illinois,67
North Carolina,66
New York,65
Nevada,65
Maryland,63
Florida,61
Wyoming,61
Oklahoma,60
Louisiana,60
New Mexico,59
Texas,58
Georgia,55
District of Columbia,50
Hawaii,47
