Category: All categories

Region,trans: (2012)
West Virginia,100
Pennsylvania,86
Michigan,85
Ohio,85
Delaware,85
Missouri,82
Wisconsin,81
Oklahoma,80
Indiana,79
North Dakota,78
Texas,77
South Dakota,77
Nevada,76
Illinois,76
Arkansas,76
Wyoming,76
Kansas,74
Nebraska,73
Tennessee,73
Mississippi,72
New Hampshire,72
Rhode Island,70
Iowa,70
New Mexico,69
Minnesota,68
Maine,67
Maryland,67
Alaska,67
California,67
New Jersey,67
Virginia,66
Florida,66
Colorado,66
North Carolina,65
Kentucky,65
Utah,65
Georgia,64
Idaho,64
Arizona,64
South Carolina,64
Montana,63
Alabama,63
Vermont,63
New York,61
Hawaii,61
Washington,61
Louisiana,60
Massachusetts,60
Oregon,59
Connecticut,56
District of Columbia,56
